Passage : Commentaire;Lieu de surveillance : Identifiant;Lieu de surveillance : Mnémonique;Lieu de surveillance : Libellé;Passage : Date;Coordonnées passage : Coordonnées minx;Coordonnées passage : Coordonnées maxx;Coordonnées passage : Coordonnées miny;Coordonnées passage : Coordonnées maxy;Coordonnées passage : Coordonnées redéfinies;Prélèvement : Commentaire;Libellé de l'engin de prélévement;Prélèvement : Niveau;Prélèvement : Immersion;Prélèvement : Immersion Min;Prélèvement : Immersion Max;Prélèvement : Symbole de l'unité d'immersion;Prélèvement : Unité d'immersion;Echantillon : Commentaire;Echantillon : Identifiant interne;Echantillon : Libellé du support;Echantillon : Libellé du taxon support;Résultat : Code paramètre;Résultat : Libellé paramètre;Résultat : Libellé support;Résultat : Libellé fraction;Résultat : Libellé méthode;Résultat : Libellé précision;Résultat : Valeur de la mesure;Résultat : Valeur qualitative;Résultat : Symbole unité de mesure associé au quadruplet;Résultat : Libellé unité de mesure associé au quadruplet;Résultat : Commentaires;Résultat : Service analyste : Libellé;Passage : Date de validation;Passage : Date de qualification;Passage : Niveau de qualité;Passage : Commentaire de qualification;Prélèvement : Date de validation;Prélèvement : Date de qualification;Prélèvement : Niveau de qualité;Prélèvement : Commentaire de qualification;Echantillon : Date de validation;Echantillon : Date de qualification;Echantillon : Niveau de qualité;Echantillon : Commentaire de qualification;Résultat : Date de validation;Résultat : Date de qualification;Résultat : Niveau de qualité;Résultat : Commentaire de qualification;Prélèvement : Service préleveur : Code;Prélèvement : Service préleveur : Libellé
;1001104;001-P-022;Oye plage;20/05/2014;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60531725;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;1;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Agro-Vétérinaire 76;21/07/2014;;Non qualifié;;05/01/2016;;Non qualifié;;21/07/2014;;Non qualifié;;21/07/2014;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;03/06/2014;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60618669;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;ANSES LNRBM-ASP 01 - mg/kg;Inf. LQ;1;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Agro-Vétérinaire 76;25/11/2015;;Non qualifié;;05/01/2016;;Non qualifié;;25/11/2015;;Non qualifié;;25/11/2015;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;01/06/2015;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60577361;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;ANSES LNRBM-ASP 01 - mg/kg;< valeur;1;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Agro-Vétérinaire 76;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;31/05/2016;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60641345;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;ANSES LNRBM-ASP 01 - mg/kg;;1.2;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Agro-Vétérinaire 76;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1002003;002-P-002;Bouchots Tardinghen;04/06/2007;1.61198935;1.61198935;50.87596966;50.87596966;0;;Main ;Emergé;0;;;m;Mètre;;5377261;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;14/03/2017;;Non qualifié;;14/03/2017;;Non qualifié;;14/03/2017;;Non qualifié;;;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;2003019;002-P-024;Parc 10 n;04/05/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339316;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;1;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;15/05/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0.5;;;m;Mètre;;5339317;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;1;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;22/05/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339350;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;30/05/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339351;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
;2003019;002-P-024;Parc 10 n;07/06/2006;1.598658956;1.598658956;50.76346629;50.76346629;0;;Main ;Emergé;0;;;m;Mètre;;5339352;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;03/05/2007;;Non qualifié;;05/01/2016;;Non qualifié;;23/03/2017;;Non qualifié;;23/03/2017;;Non qualifié;;SPEL62;Service Police de l'Eau de Boulogne - Pas-de-Calais
