geo_point_2d;geo_shape;id_s_inond;typ_inond;scenario;datentree;datsortie;est_ref;id_tri
50.6707388795,3.12919014364;"{""type"": ""Polygon"", ""coordinates"": [[[3.130236575335796, 50.67090491119582], [3.130196047181812, 50.670893754384174], [3.130125439956143, 50.67088756464525], [3.130060708753599, 50.67086021750229], [3.130054727309224, 50.670857038069045], [3.129984041095332, 50.67082032848472], [3.129973127038841, 50.670815458161684], [3.129913382013352, 50.670804967468996], [3.129842767795712, 50.670796013649756], [3.129772104845962, 50.67077912701344], [3.129737218571207, 50.67077082679582], [3.129701483522717, 50.670767400220804], [3.129630838418297, 50.67075738740604], [3.129560202839928, 50.67074011474696], [3.12952761792054, 50.670726176531744], [3.12948954526489, 50.67071429902424], [3.129418896435583, 50.67070279644338], [3.129354364974042, 50.67068147910331], [3.129348248238403, 50.67068057014457], [3.129277605476768, 50.670671391687776], [3.129206964156518, 50.67065179462064], [3.129169858009355, 50.6706368200518], [3.129136288853051, 50.670629945127125], [3.129065684737461, 50.670624768819], [3.128995011837286, 50.670609308579806], [3.128966316281854, 50.670592153560484], [3.128924340373513, 50.67057790187465], [3.128853691981017, 50.670566443838936], [3.128824779915709, 50.67054743143591], [3.128783029049124, 50.670538303502305], [3.128712354136129, 50.6705164717115], [3.12868056080572, 50.67050270295193], [3.128641707043342, 50.67049445140144], [3.12857109024058, 50.670495251369246], [3.128500491704133, 50.67049215665287], [3.128429889593509, 50.67048766198871], [3.12835926556623, 50.67048563509952], [3.128288709820203, 50.670499267364384], [3.128275587191795, 50.67050312169485], [3.128218178439842, 50.67053350338606], [3.128167295579174, 50.67054811136943], [3.128147653457073, 50.670559223232864], [3.128077100972724, 50.67059079397759], [3.128073096444349, 50.67059307744774], [3.128070443278575, 50.67063795810101], [3.128077229717219, 50.670641235512576], [3.128147891402413, 50.670652397839696], [3.128218487505666, 50.670654460772724], [3.128289102312713, 50.67065279055033], [3.128359682859011, 50.670648769190585], [3.128430305531155, 50.670650176889275], [3.128500899000195, 50.670651207678894], [3.128571488264486, 50.67065059622947], [3.128642121274498, 50.670656033028116], [3.128701270507386, 50.670682157290244], [3.128712786687018, 50.67068510671143], [3.128783433947726, 50.67069607126823], [3.128854051799123, 50.670706569178236], [3.12891010772934, 50.670726818716055], [3.128924729508478, 50.67072936107498], [3.128995355948543, 50.67074317022289], [3.129050063126999, 50.67077154237412], [3.129066072568328, 50.670775554976096], [3.129136689505304, 50.670785630957376], [3.129200468336664, 50.670816263980264], [3.129207394627525, 50.67081897583537], [3.129278022612412, 50.670833305298984], [3.129346609199469, 50.67086096291947], [3.129348714109228, 50.67086130173213], [3.129419329881256, 50.67087085707333], [3.129490003817872, 50.67089199747086], [3.129517575152819, 50.670905662731315], [3.129560669914921, 50.670921016819186], [3.129631330715412, 50.6709479542136], [3.129635728709819, 50.67095040844225], [3.12970200260002, 50.67096822403337], [3.129768060034338, 50.67099514820583], [3.129772666350974, 50.670996247170486], [3.129843333855963, 50.67101477599904], [3.129913942364241, 50.67102140561133], [3.1299845266682382, 50.671007781378414], [3.130016689349797, 50.67099488829572], [3.130055027756231, 50.6709729611134], [3.130125678550235, 50.67097957261391], [3.130196259176135, 50.67097546047528], [3.130230775074116, 50.67094978620116], [3.130236575335796, 50.67090491119582]]]}";SIN_1;01;01For;2014/04/28;;T;FRA_TRI_LILL
50.62676423,3.22032921693;"{""type"": ""Polygon"", ""coordinates"": [[[3.220553721733843, 50.626804308841145], [3.220518307774779, 50.626784771678196], [3.220471497511888, 50.626759600876525], [3.220447481267372, 50.62671706899665], [3.220446793933482, 50.62671476379758], [3.220376755571148, 50.62667873031385], [3.220356302263413, 50.62667005248379], [3.220376605234684, 50.62664446633574], [3.220405386489849, 50.6266250843874], [3.220379794317599, 50.626580275787354], [3.220376318698206, 50.62657916015791], [3.220374489511747, 50.626580285204874], [3.220305911730075, 50.6266069980681], [3.220260125797882, 50.62658048817754], [3.220235138801034, 50.62655782728486], [3.2201646297817392, 50.626562394684385], [3.220125064874805, 50.62658072774791], [3.220130552151913, 50.626625572053534], [3.22016498704772, 50.62664389952417], [3.2201881001123, 50.62667035094719], [3.220235744640529, 50.626695996021496], [3.220258797317717, 50.62671509750667], [3.220261124525784, 50.626759974328], [3.220237012123514, 50.62680487113365], [3.220241949407639, 50.62684974331872], [3.220261474968678, 50.62689458064257], [3.220284175045041, 50.626939421301635], [3.220307450795679, 50.62695788519345], [3.220333766111096, 50.62698418730413], [3.220378191141141, 50.6270059162177], [3.2204131413177, 50.62698404639438], [3.220432273303225, 50.626939158410124], [3.220430707799113, 50.626894280251], [3.220421566018032, 50.62684942451619], [3.220447922575939, 50.62681761733344], [3.220518497136688, 50.626827902281335], [3.220553721733843, 50.626804308841145]]]}";SIN_2;01;02Moy;2014/04/28;;T;FRA_TRI_LILL
50.6234919689,3.19678130029;"{""type"": ""Polygon"", ""coordinates"": [[[3.1970807516990982, 50.62433096091547], [3.197077810564207, 50.624286111431935], [3.197024137391598, 50.62424131555621], [3.197017315068881, 50.624232037858576], [3.197009754726229, 50.62419645730184], [3.197017083662431, 50.624173040377116], [3.197031333044299, 50.62415155094177], [3.197016955956153, 50.624140481375406], [3.196993884181366, 50.62410675621375], [3.196952188822855, 50.62406194128614], [3.196946089802039, 50.624053622697915], [3.196937834488735, 50.62401708296684], [3.196930167385246, 50.62397224095719], [3.1969253358913, 50.62392737649676], [3.196919474502895, 50.62388250469259], [3.196880502195942, 50.623837685406606], [3.19688450228388, 50.623792824876595], [3.196877865057031, 50.62374796326666], [3.196908937766874, 50.623703032864455], [3.1969050232841782, 50.62365815795639], [3.196913396724134, 50.623613290476015], [3.196911584290455, 50.6235684122276], [3.196900206889022, 50.623523558123544], [3.196924070422687, 50.623478639137886], [3.196935392315284, 50.62343376696646], [3.196929220607395, 50.62338889562255], [3.196901478382039, 50.62334406746853], [3.196918683034689, 50.62329915903457], [3.196924404173219, 50.623254295737254], [3.196919332889255, 50.62320942263526], [3.196902778081125, 50.62316457672132], [3.19692750200343, 50.623119656346155], [3.196940192244658, 50.62307478197955], [3.196932341779321, 50.62302991327564], [3.19691671811555, 50.622985065874474], [3.196926121175895, 50.62294016979185], [3.196941560402744, 50.6228983962078], [3.196943890073823, 50.62289528735558], [3.196966808068146, 50.622850369819844], [3.1969836457340852, 50.622805470900644], [3.196994628737005, 50.622760572293494], [3.197003439278306, 50.62271570405368], [3.197009710359219, 50.6226708129175], [3.197009619014738, 50.622625940850924], [3.197010966020741, 50.62261328474877], [3.197039872682651, 50.622581011640364], [3.197010781442478, 50.62256622306217], [3.197002340338565, 50.622536216945655], [3.1969910194842432, 50.6224913537178], [3.196972560352978, 50.62244651078823], [3.197010189801782, 50.62241537256536], [3.19704278010692, 50.62240151813703], [3.197046469573845, 50.62235665799962], [3.197011307318762, 50.62231183260725], [3.197009780523237, 50.622311018355916], [3.196939197632672, 50.62229574816213], [3.196868596488965, 50.622283008750976], [3.196798048805259, 50.62227670389337], [3.196727550775543, 50.62229027731726], [3.196690788587918, 50.62231234092027], [3.196696663696172, 50.622357212816624], [3.196727965337202, 50.62239613025394], [3.196731670415797, 50.622402011617915], [3.196736741450603, 50.622446884780935], [3.196738045786454, 50.62249175493659], [3.196733354514094, 50.62253664356662], [3.196728597076998, 50.622557435918154], [3.196717222014968, 50.622581523402964], [3.196722631633234, 50.62262639601812], [3.196711972852495, 50.62267128512148], [3.1967111751968362, 50.62271616756817], [3.196729301119825, 50.62273720185499], [3.196734839778004, 50.62276098431941], [3.196735043772236, 50.622805865172786], [3.196729610702031, 50.622816248236596], [3.196659070930143, 50.62281215100351], [3.196600224945896, 50.62285095098058], [3.196588759947812, 50.62287371934289], [3.196583979472225, 50.62289585788074], [3.19658893306812, 50.62291795407816], [3.196611114473288, 50.6229406691474], [3.1966596981322652, 50.622972352720254], [3.196662726188752, 50.622985468550866], [3.19665977521962, 50.62299204251465], [3.196631724205133, 50.6230303898528], [3.196632957959692, 50.62307526905714], [3.196638945860648, 50.623120113803886], [3.196613022535927, 50.623165036020964], [3.19664237267032, 50.62320986170346], [3.196660778204003, 50.62324822517508], [3.196661875785118, 50.62325471195209], [3.196662192471682, 50.623299565671026], [3.196661040318192, 50.623315174036314], [3.19665300072259, 50.62334446137464], [3.196630477201045, 50.623389369219645], [3.196634278556291, 50.62343424433293], [3.196637952843937, 50.6234790927211], [3.1965912672893, 50.623514373362056], [3.196585676188702, 50.62352405665324], [3.196582621140873, 50.623568933643185], [3.196588397545545, 50.62361380561805], [3.196521249458787, 50.62364393141121], [3.196509809708451, 50.62365878425316], [3.196508123069514, 50.62370366804033], [3.196521656083032, 50.62374786362196], [3.19659210709985, 50.62372895063734], [3.196662673452897, 50.62373230298535], [3.196666051420799, 50.6237482990382], [3.196662833851518, 50.62377327099331], [3.1966340049955, 50.62379322194426], [3.196663065367098, 50.62383240312576], [3.196663482415306, 50.62383802943043], [3.196663094144076, 50.62383975313546], [3.196652167986044, 50.62383804735587], [3.1965924726356922, 50.6238223469233], [3.19657351718391, 50.623838171933755], [3.196592669436228, 50.623872630322445], [3.196597055306213, 50.623883015761386], [3.19665896666583, 50.62392779879269], [3.196663450185215, 50.62393069042871], [3.196673997864891, 50.62397264710285], [3.196666188463892, 50.62401751364925], [3.196663836023812, 50.62402923797414], [3.196593271747367, 50.624026522808414], [3.196580342393789, 50.624017649630666], [3.196522616700432, 50.623993393422666], [3.196478625028285, 50.624017810675596], [3.196481481070795, 50.62406268724816], [3.196462145481457, 50.62410759894267], [3.196479306774568, 50.62415242594414], [3.196452769941746, 50.62416690779043], [3.196434788568957, 50.62419736851169], [3.196453045542481, 50.624237374512816], [3.196456478603348, 50.624242215266904], [3.19645311202092, 50.62425437196107], [3.196447272389996, 50.62428711091527], [3.196452808816646, 50.62433195630544], [3.196453419071864, 50.62433287970488], [3.196524040386469, 50.62435727705733], [3.19654537710793, 50.62437669084211], [3.196524287506786, 50.624420438628235], [3.196523981661794, 50.62442159681246], [3.196524293370547, 50.624421937346874], [3.196594870868331, 50.6244350987535], [3.19666541699052, 50.62443303058124], [3.196736002238759, 50.62444815729284], [3.196780399838278, 50.624466071653146], [3.196806637476016, 50.62446883007523], [3.196836196754711, 50.6244659831877], [3.196877113421535, 50.62445604643864], [3.196947562864939, 50.62442931655717], [3.196970878589556, 50.62442088848034], [3.1970180225973, 50.6244124225815], [3.197074170100212, 50.62437585243825], [3.1970807516990982, 50.62433096091547]]]}";SIN_1;01;01For;2014/04/28;;T;FRA_TRI_LILL
;;SIN_3;01;04Fai;2014/04/28;;T;FRA_TRI_LILL
50.6697895541,3.13575345687;"{""type"": ""Polygon"", ""coordinates"": [[[3.136243565499217, 50.66964213848548], [3.136195207499921, 50.66959731350869], [3.13619398942167, 50.66959595082564], [3.136143460706092, 50.669552519144794], [3.136123224735274, 50.66954172788127], [3.136085057732689, 50.66955258312405], [3.136052718774474, 50.66957245962074], [3.135982055709057, 50.669560880003544], [3.135974083610427, 50.66955270461828], [3.135935017311929, 50.66950786936589], [3.135911295359256, 50.66949772799492], [3.135840689646356, 50.669502067764256], [3.135828067667479, 50.66950798632682], [3.13578647676503, 50.669552909784436], [3.135784974253061, 50.66959776250039], [3.135770432675602, 50.669624870304744], [3.135762742672098, 50.66964266478604], [3.135761098977986, 50.66968753559757], [3.135700078953609, 50.66972246547808], [3.135682991756494, 50.66973249890188], [3.1356617907632662, 50.66977737311349], [3.135670864623366, 50.669822241186274], [3.135632987047517, 50.669867151542626], [3.135629889970379, 50.669870663679305], [3.135583770471595, 50.66991208323183], [3.135559438104741, 50.66992170277283], [3.135517015756457, 50.66995700710643], [3.135488981405197, 50.66998146436018], [3.135457123687809, 50.670001950382144], [3.135418511731951, 50.67002601532841], [3.135347928686945, 50.67003905039911], [3.135307140905588, 50.67004698279098], [3.135277378322273, 50.67005374554643], [3.135206762342441, 50.670054585181084], [3.135136252828165, 50.67008447284257], [3.135120853317875, 50.670092063475], [3.135136295965071, 50.6701004910238], [3.135169761473183, 50.670136861316514], [3.135207024394091, 50.670151842909455], [3.135277607682732, 50.67013882586852], [3.135286484057362, 50.67013673428336], [3.135348143039306, 50.6701185221163], [3.135418696336668, 50.67009442238757], [3.135430804736635, 50.670091726025014], [3.135489221518522, 50.670070394438895], [3.135545739739515, 50.67004672273443], [3.135559763795786, 50.67004226540489], [3.13563027748562, 50.670014037649004], [3.135652357428107, 50.67000173738881], [3.135681169538956, 50.669956827961514], [3.135693065021167, 50.66991196392137], [3.135700583902794, 50.66990919177955], [3.135762135245688, 50.669867010497505], [3.135770981346261, 50.66982765968945], [3.135771644184401, 50.66982213110375], [3.135770922977864, 50.66980608673543], [3.135767625446557, 50.66977725751465], [3.135770823722569, 50.66976940194344], [3.135791255104161, 50.66973238063067], [3.135841284657645, 50.669721871464844], [3.135911888662458, 50.66971678687319], [3.135960816375964, 50.66973219520559], [3.135982548477144, 50.66974272461493], [3.13603548659586, 50.669732113475995], [3.136053138394733, 50.669727230347966], [3.136123647372146, 50.669697530599585], [3.136157960675584, 50.66968710133919], [3.136194192301146, 50.66967070238739], [3.136243565499217, 50.66964213848548]]]}";SIN_3;01;04Fai;2014/04/28;;T;FRA_TRI_LILL
50.6489143042,3.16460222223;"{""type"": ""Polygon"", ""coordinates"": [[[3.165174042033641, 50.64851826316141], [3.165142538795526, 50.64847993184046], [3.165072004997913, 50.64850069294245], [3.16502638161954, 50.64847358002457], [3.165001311036598, 50.64845985605234], [3.164954396635129, 50.64847367565528], [3.1649308058580052, 50.64848504126385], [3.16489409076819, 50.64851863516952], [3.164860453316036, 50.64854813279193], [3.16484815355705, 50.64856356660608], [3.164790033779506, 50.648599468305086], [3.164750683374351, 50.64860857536827], [3.164743180367425, 50.64865343782088], [3.164719728275902, 50.648676998989224], [3.164649157901686, 50.64868244112338], [3.164578625832393, 50.64869096127905], [3.164517801904744, 50.648698615996416], [3.164508111677025, 50.64870495556485], [3.164481024683654, 50.64874353515027], [3.16443770190685, 50.64875944973153], [3.164395579624839, 50.648788527694556], [3.164367318920646, 50.648813548958415], [3.164325773527866, 50.648833472563375], [3.164296883529546, 50.64886030740755], [3.164278071197262, 50.648878415076595], [3.164254505110407, 50.64892331667544], [3.164235596908667, 50.64896822108141], [3.164226700283071, 50.648975555699195], [3.164198565111483, 50.64901312252156], [3.164196862849276, 50.64905800416657], [3.164227047420817, 50.64908167378557], [3.1642670758683202, 50.649102781737305], [3.164293674023964, 50.649147625943314], [3.164297841746849, 50.64915310359441], [3.164327950647419, 50.64919243305911], [3.164298042337475, 50.649214396310015], [3.164272640036979, 50.6492373856124], [3.164298160959307, 50.649250642468196], [3.164368486088057, 50.64928212920741], [3.164368855191737, 50.649282774852736], [3.164439465317793, 50.64929782065765], [3.164470127701373, 50.64928199464814], [3.164509944447609, 50.64926426297411], [3.164580443236702, 50.64924534194961], [3.164594149632468, 50.6492369599418], [3.164650866920637, 50.64920353707547], [3.164671380401892, 50.64919197818309], [3.164721278907828, 50.64914959921448], [3.164723924174722, 50.64914705604065], [3.164748619107677, 50.649102143895675], [3.164791597766941, 50.649075936397004], [3.164812454552026, 50.64905718878231], [3.164822413453657, 50.64901229617086], [3.164821899213313, 50.64896744437733], [3.164826254501542, 50.64892255919605], [3.164827998570397, 50.64887768645127], [3.164819848129159, 50.64883281786077], [3.164853689294853, 50.64878792045767], [3.164861198213139, 50.648774969855985], [3.164873909550247, 50.648743014203006], [3.164931515870506, 50.64870116333361], [3.164934977931633, 50.64869806267533], [3.164949509832538, 50.64865316395641], [3.164974133835508, 50.64860827874964], [3.165001739295777, 50.64859015928546], [3.165072222405907, 50.64856681375563], [3.165079522179707, 50.64856325928726], [3.165142701419238, 50.6485293698935], [3.165174042033641, 50.64851826316141]]]}";SIN_2;01;02Moy;2014/04/28;;T;FRA_TRI_LILL
50.512321854,3.0931957774;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[3.093471125332139, 50.51247346207799], [3.093117673767025, 50.512259339944755], [3.093120257193303, 50.51226335021214], [3.093153180750115, 50.512308186803516], [3.093186920512983, 50.51234525865001], [3.093198351023533, 50.51235304109456], [3.093257356262451, 50.512381396293954], [3.093297913241157, 50.51239784542308], [3.093327770883604, 50.51240608071531], [3.093387678348708, 50.512442666033365], [3.093398250390369, 50.51245052988854], [3.093468667926611, 50.512476695241936], [3.093471125332139, 50.51247346207799]]], [[[3.093112473715984, 50.51225620230336], [3.09296006530993, 50.512163865428896], [3.09294917417666, 50.512173711149536], [3.092975507841244, 50.51220991796074], [3.092982435392224, 50.51221856549019], [3.09304595519703, 50.512237286306195], [3.093112473715984, 50.51225620230336]]]]}";SIN_1;01;01For;2014/04/28;;T;FRA_TRI_LILL
50.6244492024,3.21228469042;"{""type"": ""Polygon"", ""coordinates"": [[[3.213799426640398, 50.624123802419355], [3.213734688190803, 50.624097959861366], [3.213664165504118, 50.6240986376863], [3.213636283583978, 50.62412408330712], [3.213593822925361, 50.62414830656215], [3.213523337819435, 50.62415784200198], [3.213452838042252, 50.62416393124682], [3.213446046640883, 50.62416928270919], [3.21338241822854, 50.62419548973754], [3.213349245784396, 50.624214330232064], [3.213312036336758, 50.62422935454907], [3.213241582777615, 50.62425300654536], [3.213220250577102, 50.624259432981006], [3.213171174011674, 50.62428058024776], [3.213136682431453, 50.624304430677526], [3.213100757606231, 50.624316347572176], [3.213043915897385, 50.62434947102527], [3.213030409153707, 50.62435818144893], [3.21295990205099, 50.62436927815275], [3.212889419481469, 50.62437951322953], [3.212818825851999, 50.624370202160804], [3.212748325235224, 50.6243761833113], [3.212703287182376, 50.624394927296045], [3.2127012622905298, 50.62443981185799], [3.212678221322732, 50.624482524718374], [3.212607689345098, 50.624481137840476], [3.212538519612369, 50.62448494478074], [3.212537179699686, 50.62448502784476], [3.212536022506722, 50.624484949056296], [3.212466484670081, 50.624451764015916], [3.212448496837379, 50.62448509888624], [3.212400578539155, 50.62453006197437], [3.212396309871568, 50.62453483469646], [3.2123258457791692, 50.624556197701395], [3.212293646491591, 50.624575117007936], [3.212255513372817, 50.624602060610115], [3.212187955792315, 50.624620178798565], [3.212185037298142, 50.62462062353398], [3.212116885802917, 50.62466515441728], [3.212114708273324, 50.624667338922315], [3.212044304515254, 50.62470640818964], [3.212040708702097, 50.62471016563938], [3.211977919935645, 50.624755144974756], [3.211973996637641, 50.62475819400245], [3.211965349691905, 50.62475516644015], [3.211919676126729, 50.624710372327506], [3.211903173363852, 50.624694533726476], [3.21188702428228, 50.624665546993974], [3.21190293666195, 50.62463842605656], [3.211924531593896, 50.62462062881206], [3.211973329015677, 50.624599994068895], [3.212043802799349, 50.62458756079831], [3.212070162185523, 50.624575499017816], [3.212114214425567, 50.624550394088104], [3.212152885184499, 50.62453048555527], [3.212184598825795, 50.62451682612555], [3.212255090151718, 50.62450190678824], [3.212295792476848, 50.62448536014391], [3.21232548967787, 50.62447195540962], [3.212395923217878, 50.624443394967], [3.212422687126874, 50.624440288891016], [3.212464270865219, 50.62439533663074], [3.21246623401592, 50.62439250632707], [3.212536623239685, 50.62435351759578], [3.212607194427387, 50.62436421092487], [3.212660773457086, 50.62435012801717], [3.212628883011571, 50.62430530154982], [3.21260683367717, 50.624278981430436], [3.212566322209179, 50.624260554519786], [3.212537168830805, 50.6242157233361], [3.212536032986676, 50.62421402013991], [3.212492003090958, 50.62417091955446], [3.212465259837416, 50.62416219731701], [3.212416921095379, 50.624171048060816], [3.212394793054176, 50.62417612057871], [3.212327590167406, 50.624171200895745], [3.21232421603845, 50.624170650252786], [3.2122587940588962, 50.62412644641927], [3.212253498878242, 50.624125333670364], [3.212182874865328, 50.6241087171053], [3.212141650620751, 50.624081792487246], [3.212112192898851, 50.62407168377551], [3.212090806006896, 50.62408187937181], [3.212041770197974, 50.62410606845833], [3.211996529293397, 50.624126894607684], [3.211971448274349, 50.6241543273912], [3.211963283062439, 50.624171823517514], [3.2119396442669332, 50.624216744986455], [3.211912266841189, 50.624261672830386], [3.211901515363711, 50.62430151968322], [3.211830825007033, 50.62426251184438], [3.211771715745121, 50.62430676687254], [3.211789610385435, 50.624351617438926], [3.211760747989336, 50.62437565531545], [3.211746022717456, 50.62439656391907], [3.21170741510848, 50.624441510861736], [3.211690594785419, 50.62446410124685], [3.2116751417830622, 50.62448642006461], [3.211629719899341, 50.624531378596835], [3.211620372851301, 50.624542989484944], [3.211598419972091, 50.62457630406292], [3.211571253664865, 50.6246212314471], [3.21155034264977, 50.62466075453551], [3.211494356520713, 50.624666216640115], [3.211479870492706, 50.62467362726802], [3.211475894711198, 50.624711129166286], [3.211480069919935, 50.62472099391431], [3.211550645329914, 50.62473262117116], [3.211621189768459, 50.624736889417], [3.211691679301213, 50.624721431943186], [3.211705601255583, 50.6247107376156], [3.211762061461529, 50.62468720910075], [3.211832694588633, 50.62470582717219], [3.211862383517853, 50.62471047012531], [3.21186838528612, 50.624755331977276], [3.21186583763656, 50.62480021739273], [3.211833176503827, 50.62482009762345], [3.211762602957631, 50.624815650059666], [3.211721983709774, 50.62484531697733], [3.211692318011099, 50.62487298185461], [3.211665035261872, 50.62489029515761], [3.211621913754558, 50.62490873033613], [3.21155139455015, 50.62491051080526], [3.21151088208238, 50.62493543000112], [3.211481147014842, 50.62497681682406], [3.211476266435772, 50.624980370033136], [3.211481179207702, 50.62498446297143], [3.211517123438757, 50.62498030042091], [3.211551677427337, 50.62497767485434], [3.211581315207719, 50.62498019102371], [3.211622251891187, 50.624988987963796], [3.211633599756035, 50.62498010189455], [3.211692628951914, 50.62494676000437], [3.2117193287933112, 50.6249350746501], [3.211763052705696, 50.624922328190905], [3.211791880790759, 50.62489007880076], [3.211833373880391, 50.624866898874714], [3.211882547347534, 50.624845043012684], [3.211903747591538, 50.62483064775545], [3.211974282275688, 50.62482587857814], [3.212025413567254, 50.62479994492882], [3.212044654918414, 50.6247894119923], [3.212115217282653, 50.624787873477885], [3.2121626221016992, 50.62475482942392], [3.212185557886892, 50.62474385937818], [3.212256014907174, 50.62472074645965], [3.212279063444591, 50.624709758254376], [3.21232645043713, 50.62469923995811], [3.212382736807756, 50.62466469984389], [3.212396828776769, 50.62465755004274], [3.212467329033135, 50.62465138063289], [3.212526406220261, 50.62461959979555], [3.21253773122604, 50.62461537140199], [3.212608146392957, 50.624589117302854], [3.212626157160739, 50.624574547890646], [3.212678540207013, 50.624557837523085], [3.212733483931544, 50.62452949189361], [3.212748953672802, 50.624524556371966], [3.212819436892731, 50.624514420095096], [3.212880496110345, 50.624484358773174], [3.212889844004374, 50.62447967604166], [3.212960314082109, 50.6244664614794], [3.213004991885344, 50.62443929103802], [3.213030729669041, 50.624433754522904], [3.21309169221642, 50.6243942611395], [3.213101062959457, 50.624388321932805], [3.213171574225026, 50.62437488281721], [3.213226443947936, 50.62434915762016], [3.213241954700958, 50.62434061424641], [3.213312496344714, 50.624337675074564], [3.213376883373329, 50.624304018010946], [3.213382868170649, 50.62430140513976], [3.213453336718942, 50.62428127998847], [3.213484857931341, 50.62425897817947], [3.2135236823081152, 50.62423888048258], [3.213572135943456, 50.62421394693863], [3.213594065444384, 50.624205338628514], [3.213664602334784, 50.62420133130701], [3.213725706596407, 50.624168801508965], [3.213734971767912, 50.624164603472884], [3.213799426640398, 50.624123802419355]]]}";SIN_1;01;01For;2014/04/28;;T;FRA_TRI_LILL
