code_region;nom_de_la_region;code_departement;code_arrondissement;code_canton;code_commune;nom_de_la_commune;population_municipale;population_comptee_a_part;population_totale;annee_recensement;annee_utilisation;code_insee;superficie;statut;code_insee_commune;nom_com;nom_dep;nom_reg;epci;code_epci;libepci
31;Nord-Pas-de-Calais;59;5;33;332;Lannoy;1781;10;1791;2012;2015;59332;0.17;Commune;59332;;;;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;33;367;Lys-lez-Lannoy;13317;126;13443;2012;2015;59367;3.26;Commune;59367;Lys-lez-Lannoy;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;40;507;Ronchin;18398;118;18516;2012;2015;59507;5.48;Commune;59507;Ronchin;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;51;643;Warneton;224;2;226;2012;2015;59643;4.16;Commune;59643;Warneton;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
32;Hauts-de-France;59;5;02;011;Annoeullin;10407;108;10515;2015;2018;59011;8.94;Commune;59011;Annœullin;NORD;HAUTS-DE-FRANCE;245901061;245901061;CC de la Haute Deûle
32;Hauts-de-France;59;5;22;152;Comines;12420;71;12491;2015;2018;59152;16.07;Commune;59152;Comines;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;97;350;Lille;232741;4338;237079;2015;2018;59350;34.98;Commune;59350;Lille;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;18;648;Wattignies;14295;172;14467;2015;2018;59648;6.3;Commune;59648;Wattignies;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
31;Nord-Pas-de-Calais;59;5;54;163;Croix;20664;293;20957;2012;2015;59163;4.5;Commune;59163;Croix;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;33;522;Sailly-lez-Lannoy;1728;38;1766;2012;2015;59522;4.46;Commune;59522;Sailly-lez-Lannoy;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;07;658;Wicres;410;3;413;2012;2015;59658;2.79;Commune;59658;;;;245900410;245900410;CU de Lille Métropole
32;Hauts-de-France;59;5;04;088;Bois-Grenier;1563;21;1584;2014;2017;59088;7.47;Commune;59088;Bois-Grenier;NORD;HAUTS-DE-FRANCE;245900816;245900816;CC des Weppes
32;Hauts-de-France;59;5;36;106;Bouvines;698;16;714;2014;2017;59106;2.73;Commune;59106;Bouvines;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU Lille Métropole
32;Hauts-de-France;59;5;28;195;Englos;603;8;611;2014;2017;59195;1.3;Commune;59195;Englos;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU Lille Métropole
32;Hauts-de-France;59;5;18;193;Emmerin;3174;27;3201;2016;2019;59193;4.99;Commune;59193;Emmerin;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;02;550;Salomé;2969;24;2993;2016;2019;59550;5.33;Commune;59550;Salomé;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
31;Nord-Pas-de-Calais;59;5;22;656;Wervicq-Sud;5141;48;5189;2013;2016;59656;5.03;Commune;59656;Wervicq-Sud;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
